circle,division,subdivision,section,area,catdesc,catcode,totservices,billdservices,units,load
CYBERCITY,IBRAHIMBAGH,CHEVELLA,SHABAD,SANKYPALLY GUDA,AGRICULTURAL,5,37,37.0,0,138.75
CYBERCITY,IBRAHIMBAGH,MOKILA,MOINABAD,MURTHUZA GUDA,AGRICULTURAL,5,9,5.0,0,33.75
CYBERCITY,IBRAHIMBAGH,MOKILA,MOINABAD,MURTUZA GUDA,AGRICULTURAL,5,183,171.0,0,690.0
CYBERCITY,IBRAHIMBAGH,MOKILA,MOINABAD,NAGI REDDY GUDA,AGRICULTURAL,5,183,177.0,2246,688.13
CYBERCITY,IBRAHIMBAGH,MOKILA,MOINABAD,NAKKALAPALLY,AGRICULTURAL,5,23,8.0,0,86.25
CYBERCITY,IBRAHIMBAGH,MOKILA,MOINABAD,NAKKALPELLY,AGRICULTURAL,5,161,153.0,0,604.5
CYBERCITY,IBRAHIMBAGH,MOKILA,MOINABAD,NAZEEB NAGAR,AGRICULTURAL,5,68,68.0,0,252.75
CYBERCITY,IBRAHIMBAGH,MOKILA,SHANKAR PALLY,ANTAPPA GUDA,AGRICULTURAL,5,2,2.0,625,7.5
CYBERCITY,IBRAHIMBAGH,MOKILA,SHANKAR PALLY,ANTAPPAGUDA,AGRICULTURAL,5,83,81.0,0,311.25
CYBERCITY,IBRAHIMBAGH,MOKILA,SHANKAR PALLY,BULKAPUR,AGRICULTURAL,5,316,308.0,4953,1186.88
CYBERCITY,IBRAHIMBAGH,MOKILA,SHANKAR PALLY,CHANDIAPPA,AGRICULTURAL,5,142,128.0,625,534.38
CYBERCITY,IBRAHIMBAGH,MOKILA,SHANKAR PALLY,CHANDIPPA,AGRICULTURAL,5,6,6.0,0,22.5
CYBERCITY,IBRAHIMBAGH,MOKILA,SHANKAR PALLY,CHINNA REDDY GUDA,AGRICULTURAL,5,26,26.0,0,100.88
CYBERCITY,IBRAHIMBAGH,MOKILA,SHANKAR PALLY,FATHEPUR,AGRICULTURAL,5,123,119.0,0,461.25
CYBERCITY,IBRAHIMBAGH,MOKILA,SHANKAR PALLY,GAJULA GUDA,AGRICULTURAL,5,37,37.0,0,138.75
CYBERCITY,IBRAHIMBAGH,MOKILA,SHANKAR PALLY,JANWADA,AGRICULTURAL,5,1,1.0,0,3.75
CYBERCITY,IBRAHIMBAGH,MOKILA,SHANKAR PALLY,KACHIREDDY GUDU,AGRICULTURAL,5,4,4.0,0,15.0
CYBERCITY,IBRAHIMBAGH,MOKILA,SHANKAR PALLY,KONDAKAL,AGRICULTURAL,5,349,344.0,2950,1315.13
CYBERCITY,IBRAHIMBAGH,MOKILA,SHANKAR PALLY,KOTHAGUDA,AGRICULTURAL,5,25,25.0,0,93.75
CYBERCITY,IBRAHIMBAGH,CHEVELLA,SHABAD,SARDAR NAGAR,AGRICULTURAL,5,62,60.0,0,232.5
CYBERCITY,IBRAHIMBAGH,CHEVELLA,SHABAD,SEETHARAM POOR,AGRICULTURAL,5,51,47.0,0,191.25
CYBERCITY,IBRAHIMBAGH,CHEVELLA,SHABAD,SERIGUDA,AGRICULTURAL,5,8,8.0,0,30.0
